0: area_dppc_bilayer_0_323.15
1: area_dppc_bilayer_5_323.15
2: area_dppc_bilayer_-5_323.15
3: area_dppc_bilayer_0_333.15
4: area_dmpc_bilayer_0_303.15
5: area_popc_bilayer_0_303.15
6: area_dppc_monolayer_18_321.15
7: area_dppc_monolayer_40_321.15
8: area_dppc_monolayer_55_321.15
9: db_dppc_bilayer_0_323.15
10: db_dppc_bilayer_0_333.15
11: db_dmpc_bilayer_0_303.15
12: scd-c23
13: scd-c33
14: scd-c24
15: scd-c25
16: scd-c29
17: scd-c210
18: scd-c212
19: scd-c312
20: scd-c214
21: scd-c314
22: scd-c215
23: scd-c315
24: scd-c32
25: scd-c22-h2r
26: scd-c22-h2s
27: scd-c11
28: scd-c12
29: scd-c1-ha
30: scd-c1-hb
31: scd-c2-hs
32: scd-c3-hx
33: scd-c3-hy
34: Ob-OW_peak_1
35: Ob-OW_foot_1
36: Ob-HW_peak_1
37: Ob-HW_foot_1
38: Ob-HW_peak_2
