     Trj     Frm   Label    Size    SITO    PLPC   DLIPE    PNPG    PLPI   DLIPS
     101       1       1       9       5       1       2       0       0       1
     101       1       2       7       5       0       1       0       1       0
     101       1       3       4       2       0       0       0       2       0
     101       1       4       4       4       0       0       0       0       0
     101       1       5       4       2       0       0       2       0       0
     101       1       6       5       1       0       2       1       0       1
     101       1       7       4       1       0       1       1       1       0
     101       1       8       3       0       1       1       1       0       0
     101      11       1       5       4       0       0       0       0       1
     101      11       2       4       3       0       0       0       1       0
     101      11       3       7       5       0       1       0       1       0
     101      11       4       7       3       0       2       1       0       1
     101      11       5       4       1       1       2       0       0       0
     101      11       6       5       1       0       1       0       2       1
     101      21       1      11       5       0       3       1       0       2
     101      21       2       3       3       0       0       0       0       0
     101      21       3       3       3       0       0       0       0       0
     101      21       4       3       2       0       0       0       1       0
     101      21       5       3       0       1       2       0       0       0
     101      21       6       3       1       0       0       0       1       1
     101      31       1       5       1       0       2       0       1       1
     101      31       2       6       2       1       2       0       0       1
     101      31       3       5       5       0       0       0       0       0
     101      31       4       3       3       0       0       0       0       0
     101      31       5       7       4       0       0       1       2       0
     101      31       6       4       1       0       1       1       1       0
     101      41       1       3       2       0       0       0       0       1
     101      41       2       7       7       0       0       0       0       0
     101      41       3       3       2       0       1       0       0       0
     101      41       4       4       2       0       0       1       1       0
     101      41       5       3       2       0       1       0       0       0
     101      41       6       3       2       0       0       0       1       0
     101      41       7       3       0       1       1       1       0       0
     101      51       1       8       5       0       2       1       0       0
     101      51       2       3       1       0       0       0       1       1
     101      51       3       5       5       0       0       0       0       0
     101      51       4       4       3       0       0       0       1       0
     101      51       5       3       2       0       0       1       0       0
     101      51       6       3       1       0       0       1       1       0
     101      51       7       3       2       0       0       0       1       0
     101      51       8       3       0       1       1       1       0       0
     101      61       1       8       5       0       2       1       0       0
     101      61       2      11       8       0       1       0       1       1
     101      61       3       5       4       0       0       0       1       0
     101      61       4       3       2       0       0       1       0       0
     101      61       5       5       1       1       2       0       0       1
     101      71       1       6       4       0       1       1       0       0
     101      71       2       4       2       0       1       0       0       1
     101      71       3      11       6       1       3       0       0       1
     101      71       4       6       5       0       0       0       1       0
     101      71       5       6       2       1       1       1       0       1
     101      81       1       4       3       0       1       0       0       0
     101      81       2       3       3       0       0       0       0       0
     101      81       3       9       6       0       0       1       2       0
     101      81       4       4       1       0       1       1       0       1
     101      81       5       5       2       0       2       0       0       1
     101      81       6       3       0       1       1       0       0       1
     101      81       7       3       0       0       1       1       1       0
     101      91       1       3       1       0       1       0       0       1
     101      91       2       8       5       0       1       1       1       0
     101      91       3       3       2       0       0       1       0       0
     101      91       4       6       4       0       0       0       2       0
     101      91       5       3       2       0       0       1       0       0
     101      91       6       3       1       0       1       0       0       1
     101      91       7       3       1       0       1       0       0       1
     101      91       8       4       1       1       1       0       0       1
