     Trj     Frm   Label    Size    SITO    PLPC   DLIPE    PNPG    PLPI   DLIPS
     101       1       1       4       2       0       0       2       0       0
     101       1       2       4       2       0       1       0       0       1
     101      11       1       4       2       0       1       1       0       0
     101      11       2       9       5       0       1       0       2       1
     101      11       3       4       2       1       0       0       1       0
     101      11       4       8       4       1       1       0       2       0
     101      11       5       4       2       0       1       0       0       1
     101      21       1       4       2       0       1       1       0       0
     101      21       2       7       4       0       1       0       1       1
     101      21       3       4       2       1       0       0       1       0
     101      21       4       4       3       1       0       0       0       0
     101      21       5       3       1       0       1       0       1       0
     101      21       6       3       2       0       0       0       0       1
     101      21       7       4       0       0       2       1       0       1
     101      31       1       4       2       0       1       1       0       0
     101      31       2       5       3       0       1       0       0       1
     101      31       3       7       4       1       0       0       1       1
     101      31       4       5       3       0       1       0       1       0
     101      31       5       3       2       0       0       0       0       1
     101      31       6       3       2       0       0       1       0       0
     101      41       1       5       2       0       2       1       0       0
     101      41       2       5       2       0       1       2       0       0
     101      41       3       5       3       1       0       0       1       0
     101      41       4       3       2       1       0       0       0       0
     101      41       5       6       3       0       2       0       0       1
     101      41       6       3       1       0       1       0       1       0
     101      41       7       5       3       0       0       0       1       1
     101      51       1       3       2       0       0       1       0       0
     101      51       2       4       3       0       1       0       0       0
     101      51       3       7       4       1       0       0       1       1
     101      51       4       5       3       1       0       0       1       0
     101      51       5       4       3       0       0       1       0       0
     101      61       1       5       2       0       2       1       0       0
     101      61       2       3       2       0       1       0       0       0
     101      61       3       7       4       1       0       0       1       1
     101      61       4       5       3       1       0       0       1       0
     101      61       5       6       4       0       0       0       1       1
     101      71       1       8       4       0       1       0       1       2
     101      71       2       8       5       1       0       0       1       1
     101      71       3       3       2       0       1       0       0       0
     101      71       4       3       2       1       0       0       0       0
     101      71       5       3       3       0       0       0       0       0
     101      81       1       6       3       0       1       0       1       1
     101      81       2       7       4       1       0       0       1       1
     101      81       3       3       2       0       1       0       0       0
     101      81       4       3       2       0       0       0       1       0
     101      81       5       3       1       0       0       0       1       1
     101      91       1       4       3       1       0       0       0       0
     101      91       2       3       3       0       0       0       0       0
     101      91       3       4       2       0       1       0       0       1
     101      91       4       3       2       0       1       0       0       0
     101      91       5       4       2       0       1       0       0       1
